Date,Mkt-RF,SMB,HML,RF
202311,8.88,-0.1,1.67,0.44
202312,4.85,6.3,4.89,0.43
202401,0.73,-5.07,-2.38,0.47
202402,5.07,-0.24,-3.43,0.42
202403,2.84,-2.5,4.16,0.43
202404,-4.65,-2.37,-0.45,0.47
202405,4.33,0.55,-1.31,0.44
202406,2.8,-3,-3.36,0.41
202407,1.22,6.81,5.62,0.45
202408,1.6,-3.49,-1.1,0.48
202409,1.72,-0.13,-2.77,0.4
202410,-1,-0.99,0.86,0.39
202411,6.49,4.46,0.15,0.4
202412,-3.17,-2.71,-3,0.37
202501,2.8,-1.97,1.63,0.37
202502,-2.44,-5.79,4.91,0.33
202503,-6.39,-2.76,2.9,0.34
202504,-0.84,-0.59,-3.4,0.35
202505,6.06,0.7,-2.88,0.38
202506,4.86,0.83,-1.61,0.34
202507,1.98,0.27,-1.27,0.34
202508,1.84,3.87,4.42,0.38
202509,3.39,-1.85,-1.05,0.33
202510,1.96,-0.55,-3.09,0.37
202511,-0.13,0.38,3.76,0.3
202512,-0.36,-1.06,2.42,0.34
